papel,cotacao,p_l,p_vp,psr,dividend_yield,p_ativo,p_cap_giro,p_ebit,p_ativo_circulante_liq,ev_ebit,ev_ebitda,margem_ebit,margem_liquida,liquidez_corrente,roic,roe,liquidez_2meses,patrimonio_liquido,div_bruta_patrimonio,crescimento_receita_5a,score
BALM4,15.99,5.05,0.86,0.756,8.49,0.557,1.09,4.6,1.49,2.76,2.4,16.45,15.17,3.3,17.91,16.99,11556.6,182554000.0,0.09,6.95,100.0
BALM3,16.3,5.15,0.88,0.77,8.33,0.568,1.11,4.69,1.52,2.85,2.48,16.45,15.17,3.3,17.91,16.99,614.02,182554000.0,0.09,6.95,99.92
TKNO4,81.0,4.97,0.74,0.802,8.7,0.582,1.38,5.55,1.51,3.96,3.35,14.44,16.12,3.45,14.16,14.79,9453.38,324623000.0,0.01,6.61,99.87
TECN3,6.21,6.05,0.94,0.919,3.99,0.56,1.23,4.95,2.15,5.11,5.9,18.54,15.17,3.2,14.44,15.53,859658.0,408423000.0,0.25,11.66,98.09
LAVV3,11.25,6.12,1.47,1.375,9.13,0.623,1.02,6.34,2.35,6.36,6.34,21.69,26.06,4.85,12.56,24.07,8249200.0,1493340000.0,0.48,38.31,97.74
GRND3,5.28,6.72,1.21,1.795,9.15,1.018,1.9,9.62,1.92,6.76,5.91,18.67,26.72,4.47,16.54,18.02,13902300.0,3934740000.0,0.05,5.82,97.61
DEXP4,9.34,6.53,1.02,0.504,5.75,0.629,1.43,6.55,2.32,6.33,5.23,7.69,7.9,3.06,13.24,15.64,90398.9,999766000.0,0.24,10.51,96.35
DEXP3,9.39,6.56,1.03,0.507,5.6,0.632,1.43,6.59,2.33,6.36,5.26,7.69,7.9,3.06,13.24,15.64,977964.0,999766000.0,0.24,10.51,96.33
CAMB3,9.71,5.48,1.38,0.964,8.94,1.081,3.23,4.71,3.91,4.19,3.62,20.47,17.59,3.09,27.61,25.25,384331.0,296523000.0,0.01,30.3,96.15
MTSA4,41.6,9.95,0.79,0.702,5.02,0.66,1.06,9.57,1.1,5.6,4.14,7.34,7.06,5.36,10.55,7.91,94379.1,464622000.0,0.03,2.61,95.38
INTB3,13.91,10.44,1.55,0.982,3.31,0.891,1.97,9.32,3.08,10.0,8.24,10.54,9.4,2.77,13.21,14.84,33367800.0,2941250000.0,0.33,16.91,95.27
VLID3,27.1,7.24,1.27,1.014,11.23,0.752,2.26,5.84,6.8,5.72,4.49,17.37,14.01,2.83,17.87,17.51,8660670.0,1750530000.0,0.34,1.82,95.13
SHUL4,5.45,7.31,1.33,0.982,7.62,0.696,1.6,10.06,4.12,9.83,7.22,9.75,13.42,3.1,11.1,18.15,2749280.0,1468260000.0,0.57,11.52,95.1
TRIS3,7.17,7.34,0.89,1.017,4.19,0.429,0.71,7.06,1.3,8.93,7.7,14.41,14.19,3.57,7.49,12.16,4158370.0,1500220000.0,0.59,12.13,94.48
RSUL4,67.75,7.02,1.64,1.061,3.31,0.987,2.81,4.68,5.89,4.23,3.93,22.68,15.11,2.65,25.96,23.36,94338.9,250923000.0,0.06,11.69,93.73
KEPL3,7.71,8.03,1.94,0.875,10.69,0.914,2.76,5.72,6.92,5.58,4.8,15.29,10.89,2.01,23.17,24.17,13400200.0,714159000.0,0.45,16.32,93.69
FIQE3,3.93,8.17,1.17,1.361,6.49,0.613,6.19,5.68,-3.16,6.3,3.21,23.96,16.64,1.55,13.51,14.27,1632620.0,1220080000.0,0.47,26.16,93.45
